iter	Passed	Remaining
0	62	31118
1	68	16998
2	72	12088
3	78	9685
4	83	8270
5	88	7259
6	92	6528
7	97	5973
8	102	5567
9	107	5261
10	111	4967
11	117	4758
12	122	4581
13	127	4416
14	132	4281
15	137	4161
16	142	4039
17	146	3928
18	151	3847
19	156	3751
20	160	3662
21	166	3607
22	171	3548
23	175	3475
24	180	3426
25	185	3373
26	189	3320
27	194	3277
28	199	3247
29	204	3201
30	208	3160
31	214	3131
32	218	3095
33	223	3069
34	228	3035
35	234	3016
36	238	2982
37	243	2955
38	248	2936
39	253	2909
40	257	2885
41	263	2868
42	267	2845
43	272	2824
44	281	2845
45	288	2851
46	296	2853
47	302	2849
48	308	2839
49	314	2829
50	318	2808
51	323	2784
52	329	2775
53	333	2756
54	338	2741
55	343	2725
56	347	2703
57	352	2683
58	357	2669
59	361	2652
60	365	2630
61	370	2616
62	374	2596
63	379	2585
64	384	2570
65	388	2556
66	393	2541
67	398	2528
68	402	2515
69	407	2501
70	411	2489
71	416	2478
72	421	2466
73	426	2457
74	431	2444
75	435	2431
76	440	2417
77	445	2411
78	449	2397
79	454	2384
80	459	2375
81	463	2365
82	468	2353
83	472	2340
84	477	2330
85	482	2321
86	487	2312
87	491	2302
88	497	2295
89	501	2283
90	505	2272
91	509	2259
92	513	2249
93	518	2240
94	522	2228
95	527	2218
96	531	2209
97	536	2199
98	540	2191
99	545	2182
100	550	2174
101	555	2165
102	559	2156
103	563	2146
104	567	2135
105	571	2125
106	576	2118
107	581	2111
108	585	2101
109	590	2092
110	595	2086
111	600	2078
112	604	2071
113	609	2063
114	613	2053
115	618	2045
116	622	2037
117	627	2031
118	631	2023
119	636	2015
120	641	2008
121	646	2003
122	651	1996
123	656	1989
124	660	1982
125	665	1974
126	669	1966
127	674	1959
128	678	1952
129	682	1943
130	687	1936
131	692	1930
132	697	1923
133	701	1916
134	706	1909
135	710	1902
136	715	1896
137	720	1889
138	724	1881
139	729	1874
140	733	1867
141	737	1859
142	742	1853
143	747	1847
144	752	1841
145	757	1835
146	762	1829
147	767	1825
148	772	1820
149	809	1888
150	822	1901
151	827	1894
152	832	1887
153	836	1879
154	840	1871
155	845	1863
156	849	1856
157	854	1849
158	858	1842
159	863	1834
160	867	1826
161	871	1819
162	876	1812
163	881	1805
164	885	1797
165	889	1790
166	894	1783
167	899	1776
168	903	1770
169	907	1762
170	912	1755
171	916	1748
172	921	1740
173	924	1732
174	929	1727
175	933	1719
176	938	1712
177	943	1706
178	948	1700
179	952	1692
180	956	1686
181	961	1680
182	965	1672
183	970	1665
184	974	1659
185	979	1653
186	983	1646
187	988	1641
188	993	1634
189	997	1627
190	1001	1620
191	1005	1613
192	1010	1606
193	1015	1601
194	1019	1594
195	1023	1587
196	1028	1581
197	1032	1574
198	1037	1568
199	1041	1562
200	1046	1556
201	1051	1550
202	1054	1543
203	1059	1537
204	1063	1530
205	1068	1524
206	1073	1519
207	1080	1516
208	1086	1513
209	1092	1509
210	1097	1503
211	1103	1498
212	1107	1492
213	1112	1486
214	1117	1481
215	1123	1477
216	1130	1474
217	1136	1470
218	1141	1464
219	1147	1460
220	1153	1455
221	1157	1450
222	1162	1444
223	1168	1439
224	1172	1432
225	1177	1427
226	1181	1420
227	1186	1415
228	1191	1409
229	1196	1404
230	1201	1398
231	1206	1393
232	1211	1387
233	1216	1382
234	1221	1377
235	1227	1372
236	1232	1368
237	1237	1362
238	1242	1357
239	1248	1352
240	1254	1347
241	1258	1341
242	1263	1336
243	1269	1332
244	1274	1326
245	1278	1320
246	1283	1314
247	1289	1309
248	1294	1304
249	1299	1299
250	1303	1293
251	1308	1287
252	1312	1281
253	1317	1275
254	1321	1270
255	1327	1264
256	1331	1259
257	1336	1253
258	1340	1247
259	1345	1241
260	1350	1236
261	1355	1230
262	1359	1225
263	1364	1219
264	1369	1214
265	1374	1209
266	1378	1203
267	1384	1198
268	1388	1192
269	1392	1186
270	1398	1181
271	1402	1175
272	1407	1170
273	1412	1165
274	1417	1159
275	1421	1153
276	1425	1147
277	1431	1143
278	1435	1137
279	1440	1131
280	1444	1125
281	1449	1120
282	1454	1115
283	1458	1109
284	1463	1104
285	1467	1098
286	1472	1092
287	1476	1086
288	1481	1081
289	1485	1075
290	1489	1070
291	1493	1064
292	1498	1058
293	1502	1052
294	1507	1047
295	1511	1041
296	1516	1036
297	1520	1030
298	1524	1025
299	1529	1019
300	1533	1014
301	1538	1008
302	1542	1002
303	1547	997
304	1551	991
305	1556	986
306	1561	981
307	1565	976
308	1570	970
309	1574	965
310	1579	959
311	1583	954
312	1588	949
313	1593	943
314	1599	939
315	1603	933
316	1607	928
317	1612	922
318	1617	917
319	1621	912
320	1625	906
321	1630	901
322	1635	896
323	1639	890
324	1644	885
325	1648	879
326	1652	874
327	1656	868
328	1660	863
329	1665	857
330	1669	852
331	1673	847
332	1678	841
333	1683	836
334	1687	831
335	1691	825
336	1696	820
337	1700	814
338	1705	809
339	1710	804
340	1714	799
341	1718	793
342	1722	788
343	1727	783
344	1731	778
345	1737	773
346	1742	768
347	1747	763
348	1752	758
349	1756	752
350	1763	748
351	1767	743
352	1772	738
353	1777	733
354	1782	728
355	1787	722
356	1791	717
357	1797	712
358	1801	707
359	1806	702
360	1811	697
361	1815	692
362	1820	687
363	1824	681
364	1829	676
365	1834	671
366	1838	666
367	1843	661
368	1847	655
369	1852	650
370	1855	645
371	1860	640
372	1864	634
373	1868	629
374	1873	624
375	1877	619
376	1882	614
377	1886	608
378	1891	603
379	1896	598
380	1901	593
381	1906	588
382	1910	583
383	1914	578
384	1919	573
385	1923	568
386	1928	563
387	1933	558
388	1937	552
389	1942	547
390	1946	542
391	1951	537
392	1956	532
393	1961	527
394	1965	522
395	1970	517
396	1974	512
397	1979	507
398	1983	502
399	1988	497
400	1993	492
401	1997	486
402	2002	481
403	2007	476
404	2011	471
405	2016	466
406	2020	461
407	2025	456
408	2030	451
409	2034	446
410	2038	441
411	2043	436
412	2048	431
413	2053	426
414	2057	421
415	2062	416
416	2067	411
417	2071	406
418	2076	401
419	2080	396
420	2084	391
421	2088	386
422	2093	381
423	2098	376
424	2102	371
425	2107	366
426	2111	360
427	2116	355
428	2120	350
429	2125	345
430	2130	341
431	2134	336
432	2139	331
433	2144	326
434	2149	321
435	2153	316
436	2157	311
437	2162	306
438	2166	301
439	2171	296
440	2176	291
