,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Building, Real Estate, Construction and Housing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Available And Vacant Private Residential Properties (End Of Period), Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 24/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: URBAN REDEVELOPMENT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number Of Units
Data Series,2024 4Q,2024 3Q,2024 2Q,2024 1Q,2023 4Q,2023 3Q,2023 2Q,2023 1Q,2022 4Q,2022 3Q,2022 2Q,2022 1Q,2021 4Q,2021 3Q,2021 2Q,2021 1Q,2020 4Q,2020 3Q,2020 2Q,2020 1Q,2019 4Q,2019 3Q,2019 2Q,2019 1Q,2018 4Q,2018 3Q,2018 2Q,2018 1Q,2017 4Q,2017 3Q,2017 2Q,2017 1Q,2016 4Q,2016 3Q,2016 2Q,2016 1Q,2015 4Q,2015 3Q,2015 2Q,2015 1Q,2014 4Q,2014 3Q,2014 2Q,2014 1Q,2013 4Q,2013 3Q,2013 2Q,2013 1Q,2012 4Q,2012 3Q,2012 2Q,2012 1Q,2011 4Q,2011 3Q,2011 2Q,2011 1Q,2010 4Q,2010 3Q,2010 2Q,2010 1Q,2009 4Q,2009 3Q,2009 2Q,2009 1Q,2008 4Q,2008 3Q,2008 2Q,2008 1Q,2007 4Q,2007 3Q,2007 2Q,2007 1Q,2006 4Q,2006 3Q,2006 2Q,2006 1Q,2005 4Q,2005 3Q,2005 2Q,2005 1Q,2004 4Q,2004 3Q,2004 2Q,2004 1Q,2003 4Q,2003 3Q,2003 2Q,2003 1Q,2002 4Q,2002 3Q,2002 2Q,2002 1Q,2001 4Q,2001 3Q,2001 2Q,2001 1Q,2000 4Q,2000 3Q,2000 2Q,2000 1Q,1999 4Q,1999 3Q,1999 2Q,1999 1Q,1998 4Q,1998 3Q,1998 2Q,1998 1Q,1997 4Q,1997 3Q,1997 2Q,1997 1Q,1996 4Q,1996 3Q,1996 2Q,1996 1Q,1995 4Q,1995 3Q,1995 2Q,1995 1Q,1994 4Q,1994 3Q,1994 2Q,1994 1Q,1993 4Q,1993 3Q,1993 2Q,1993 1Q,1992 4Q,1992 3Q,1992 2Q,1992 1Q,1991 4Q,1991 3Q,1991 2Q,1991 1Q,1990 4Q,1990 3Q,1990 2Q,1990 1Q,1989 4Q,1989 3Q,1989 2Q,1989 1Q,1988 4Q,1988 3Q,1988 2Q,1988 1Q
All Types Private Residential Properties Available,417733,414671,412002,410400,410588,406663,398289,394062,391198,386953,385529,382978,382195,380187,379462,377817,376040,375156,374752,374925,373561,372085,371807,370944,369991,366826,366743,365591,364295,360090,356116,352310,348080,343647,338728,330303,327448,322149,318524,311635,308814,302510,297998,293283,289370,286006,282528,279824,277620,276346,273050,270920,268768,266097,262162,260108,258243,256513,254334,250451,249489,249530,245864,243181,241204,238853,237664,236903,234812,233969,233143,233195,233364,232413,230752,230196,229356,227279,225432,223686,221903,219740,216787,214275,210934,209823,207857,206669,205197,203520,201776,199584,198354,195913,194984,193980,193028,191133,190190,185503,183551,180786,179294,176331,173573,170191,166958,163873,161273,158446,154484,151790,149114,146823,145085,130737,129106,127187,125438,124338,78012,75908,74027,72325,71299,70349,68788,67545,66330,64858,63791,62993,61948,61219,60072,59224,58157,57181,56329,55414,54448,53485,52604,51903,51310,50630,50320,49934
  Available Landed Properties,73566,73540,73530,73517,73498,73463,73453,73356,73295,73184,73216,73245,73262,73264,73263,73255,73273,73459,73456,73461,73402,73346,73256,73105,73139,73119,73150,72887,72761,72748,72747,72682,72595,72501,72365,72205,71992,71826,71699,71655,71540,71471,71311,71125,71049,70725,70605,70578,70388,70338,70277,70159,70145,69991,69790,69695,69743,69701,69652,69569,69498,69371,69107,68938,68761,68553,68486,68493,68460,68393,68360,68402,68410,68416,68162,68084,67946,67746,67666,67627,67638,67586,67424,67290,67092,66987,66939,66961,66490,66404,66359,66134,66212,66231,66163,66084,66027,66036,65814,65467,64976,64840,64850,64561,64258,64132,63542,63261,63231,62742,62062,61734,61594,61091,60740,60030,59796,59511,58981,58955,24583,24287,24095,23720,23371,23089,22545,22070,21680,21355,20990,20767,20249,19774,19410,18900,18226,17857,17399,17002,16382,15956,15465,15257,14977,14626,14406,14132
  Available Non-Landed Properties,344167,341131,338472,336883,337090,333200,324836,320706,317903,313769,312313,309733,308933,306923,306199,304562,302767,301697,301296,301464,300159,298739,298551,297839,296852,293707,293593,292704,291534,287342,283369,279628,275485,271146,266363,258098,255456,250323,246825,239980,237274,231039,226687,222158,218321,215281,211923,209246,207232,206008,202773,200761,198623,196106,192372,190413,188500,186812,184682,180882,179991,180159,176757,174243,172443,170300,169178,168410,166352,165576,164783,164793,164954,163997,162590,162112,161410,159533,157766,156059,154265,152154,149363,146985,143842,142836,140918,139708,138707,137116,135417,133450,132142,129682,128821,127896,127001,125097,124376,120036,118575,115946,114444,111770,109315,106059,103416,100612,98042,95704,92422,90056,87520,85732,84345,70707,69310,67676,66457,65383,53429,51621,49932,48605,47928,47260,46243,45475,44650,43503,42801,42226,41699,41445,40662,40324,39931,39324,38930,38412,38066,37529,37139,36646,36333,36004,35914,35802
All Types Private Residential Properties Vacant,27531,29889,25169,27729,33340,34341,25052,23624,21647,21898,20765,20299,23060,24199,23854,24229,26394,23171,20162,20322,20479,22819,23636,23357,23596,25105,26064,26906,28560,30136,28888,28442,29197,29836,30310,24919,26517,25169,25071,22346,24062,21569,21268,19284,18003,17459,15833,14532,14869,16877,16115,16127,15980,15520,13347,12740,12883,13255,13666,11403,12388,15470,14509,14442,14623,13939,14437,14862,13134,12550,11506,11863,14257,15417,15087,17086,19276,19391,19607,19790,17916,18689,17958,18071,16339,16934,15709,15790,17454,16463,16767,15078,16207,14818,13912,12582,13341,15172,17216,15788,14710,13657,14898,14792,15612,16493,16069,14176,14467,14179,12815,10902,9262,8549,8955,8811,7323,7435,7551,7311,5488,5536,4783,4776,5038,5723,5542,5162,4906,4140,4144,4381,3981,4594,4187,3964,3857,4233,3939,3524,3032,3136,3608,3043,3110,3688,3764,4825
  Vacant Landed Properties,5374,5237,4636,4497,4461,4427,3982,3996,3869,3838,3410,3424,3451,3636,3487,3501,3711,3612,3342,3338,3495,3746,3561,3279,3317,3645,3673,3406,3190,3498,3237,3022,3008,2685,2605,2458,2553,2393,2274,2447,2406,2509,2507,2366,2439,2379,2386,2327,2285,2679,2277,2420,2394,2545,2395,2236,2294,2374,2323,2306,2475,2386,2525,2544,2408,2387,2791,2923,3141,3201,2944,2970,3410,3680,3196,3467,3475,3314,3415,3367,2761,3172,3046,3369,3245,3179,3175,3158,3700,3698,3947,3474,3779,3624,3295,3028,2866,3951,4200,4378,3498,3609,3751,3339,3441,4034,4002,3886,3790,3920,3733,3545,3798,3544,3785,3714,2905,2995,2667,3069,1333,1060,1202,1240,1273,1618,1459,1140,1193,1196,1212,1477,1378,1499,1556,1550,1183,1492,1194,1152,990,972,858,677,717,1012,944,1009
  Vacant Non-Landed Properties,22157,24652,20533,23232,28879,29914,21070,19628,17778,18060,17355,16875,19609,20563,20367,20728,22683,19559,16820,16984,16984,19073,20075,20078,20279,21460,22391,23500,25370,26638,25651,25420,26189,27151,27705,22461,23964,22776,22797,19899,21656,19060,18761,16918,15564,15080,13447,12205,12584,14198,13838,13707,13586,12975,10952,10504,10589,10881,11343,9097,9913,13084,11984,11898,12215,11552,11646,11939,9993,9349,8562,8893,10847,11737,11891,13619,15801,16077,16192,16423,15155,15517,14912,14702,13094,13755,12534,12632,13754,12765,12820,11604,12428,11194,10617,9554,10475,11221,13016,11410,11212,10048,11147,11453,12171,12459,12067,10290,10677,10259,9082,7357,5464,5005,5170,5097,4418,4440,4884,4242,4155,4476,3581,3536,3765,4105,4083,4022,3713,2944,2932,2904,2603,3095,2631,2414,2674,2741,2745,2372,2042,2164,2750,2366,2393,2676,2820,3816
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
