Thousands,Total,Below_1_000,1_000_1_499,1_500_1_999,2_000_2_499,2_500_2_999,3_000_3_999,4_000_4_999,5_000_5_999,6_000_6_999,7_000_7_999,8_000_8_999,9_000_9_999,10_000_10_999,11_000_11_999,12_000andOver
Total,2151.9,173.7,184.8,148.9,160.5,137.2,269.3,218.1,179.1,132.9,103.2,84.9,60.2,57.4,36.5,205.2
Ang Mo Kio,101.2,9.7,12.1,7.9,7.4,6.8,11.5,9.8,7.9,6,4,3.1,2.2,2.6,1.7,8.6
Bedok,150.3,12.2,13.6,12.1,9.7,9.6,17.2,13.4,12.2,9.2,5.4,5.1,4,4.5,2.7,19.4
Bishan,49.5,3.9,3.7,2.2,2.9,2.4,4.6,4.7,3.8,2.7,2.8,3.1,1.8,1.8,1.6,7.6
Bukit Batok,75.6,6.1,6.5,5.2,5.8,4.9,8.6,7.6,6.7,4.4,3.5,2.6,2.4,2.5,1.5,7.4
Bukit Merah,82.2,8.5,9.2,6.9,6.6,4.4,8.3,7,5.5,4.7,4.2,3,2.1,2.2,1.5,8
Bukit Panjang,80.1,5.1,6.5,5.2,6.3,6.5,10.5,8.3,7.2,5.5,3.8,3.4,2.6,2,1,6.1
Bukit Timah,36.8,2.1,1.4,1.2,1.2,0.7,2.1,2,2.9,1.3,1.9,1.6,1.5,2.2,1.1,13.7
Choa Chu Kang,97.2,7.3,7.8,6.3,7.5,6.5,14.5,10.6,8,5.9,5.4,5,2.6,2.2,1.3,6.5
Clementi,45.9,3.8,3.6,2.4,2.3,2.6,5,4.3,3.6,3.1,3.2,1.7,1.8,1.7,1,6.1
Geylang,61.4,6.5,5.9,4.4,5.3,3.5,7.8,5.7,4.4,3.5,2.4,2.4,2,1.5,1,4.9
Hougang,120.8,10.1,10.8,8.2,10.4,7.7,17,11.8,11.1,7.4,5,4.1,2.8,3.2,1.9,9.2
Jurong East,46.1,4.3,4.1,3.3,3.6,3.8,5.2,5.4,3.6,2.8,2.2,1.7,1,1.2,0.5,3.4
Jurong West,158.7,13.4,13.8,11.6,12.3,11.1,22.8,19.3,13.6,8.7,9.6,5.8,4,3,1.8,7.7
Kallang,55.4,4.3,5.8,3.9,4.8,3.1,7.1,4.8,3.8,3.5,2.1,1.6,1.7,1.3,0.9,6.6
Marine Parade,21.5,1.6,1.2,1.4,0.9,1,2.3,1.8,1.6,1.1,1,1,0.7,0.7,0.5,4.8
Novena,23.8,1.5,2.1,1.4,1.1,0.9,2.2,1.9,1.6,1.4,0.9,0.6,0.7,0.9,0.6,5.8
Outram,11.7,0.9,1.9,0.8,0.7,0.7,1.2,0.9,0.9,0.8,0.3,0.5,0.1,0.4,0.2,1.2
Pasir Ris,78,7,4.4,4.4,5.7,4.3,9.9,9,6.6,5.5,3.4,3.3,2.9,2.1,1.5,7.9
Punggol,60.4,3.6,3.2,2.8,3,3.5,7.1,6.2,6.1,5.5,4.9,3.8,2.8,1.7,1.5,4.6
Queenstown,49.2,4.1,4.2,3.5,3.2,3.1,4.8,4.8,3.8,3.2,2.3,2,1.6,1.5,1.1,5.8
Sembawang,47.3,3.2,3.6,3,4.1,2.6,6.6,4.4,4.5,3.7,3.2,2.2,1.7,1.4,0.7,2.3
Sengkang,124.3,7.5,7.9,7.7,9.9,8,16.4,14.2,11.1,8.8,7.4,6.2,3.7,4,2.3,9.3
Serangoon,68.2,4.6,5.9,3.9,4.4,3.2,8.7,6.5,6.1,3.8,2.8,2.2,1.8,1.9,1.7,10.7
Tampines,152.8,13,12.7,10.5,11.7,10.3,20.6,16.9,12.8,10.1,7.1,5.6,3.4,3.7,2.6,11.6
Tanglin,9,0.6,0.1,0,0.3,0.1,0.4,0.8,0.3,0.2,0.5,0.4,0.1,0.3,0.1,4.8
Toa Payoh,68.9,6.3,6.3,5,5.2,4.9,8.4,7.1,5.4,3.6,2.9,2.5,1.9,1.9,1.4,6.1
Woodlands,134.8,10.9,11.9,12.3,13,11,18.2,14.9,11.4,9.3,6.1,4.9,3,2.2,1,4.8
Yishun,119.3,10.3,13.1,10.3,10.2,9,18,12.3,10.3,5.8,4.6,4.6,2.8,2.2,1.3,4.5
Others,21.5,1.1,1.6,1,0.9,0.9,2.2,1.5,2,1.2,0.6,0.9,0.5,0.7,0.5,5.9
