,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,
Subject: Elderly Profile,,,,,,,,,,,,,,,
Topic: Elderly,,,,,,,,,,,,,,,
"Table Title: Residents Aged 65 Years And Over In Resident Households By Living Arrangement And Age Group, Annual",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data last updated: 13/02/2025,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Number
Data Series,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Total,767900,708700,683800,658900,622900,605000,556300,535600,492700,460900,466300,413100,389800,370300,340700
  Living With Spouse & At Least One Child In Household,271800,243700,255800,221800,214600,183900,180500,173400,165900,166000,168100,150000,137200,130200,121100
"  Living With Spouse, No Children In Household",208600,197000,173900,186400,164800,185700,153300,149900,128100,107300,110900,92200,87700,82800,66100
  Living Alone In Household,87200,78100,78600,64500,63800,67600,58200,53800,47400,41200,42100,35200,31200,29500,27900
  Living With Children But Without Spouse In Household,132000,135800,131700,131400,131600,123300,120600,118100,115800,116500,115300,111100,108300,105700,106100
  Others,68400,54100,43800,54800,48100,44500,43800,40400,35500,29900,29900,24700,25400,22100,19500
65 - 69 Years,279600,265500,263400,256600,230200,235600,212300,207800,202100,183300,178000,150400,136100,123100,112300
  Living With Spouse & At Least One Child In Household,129600,118300,124500,112300,101900,90800,86800,84400,86600,84800,82100,70000,63400,57500,53400
"  Living With Spouse, No Children In Household",71900,72000,65300,72200,62400,77500,64800,63800,57300,48500,46200,37100,33700,31600,24600
  Living Alone In Household,30000,26100,29400,24600,22900,23500,20700,19000,19000,12300,14900,12100,8700,7300,8300
  Living With Children But Without Spouse In Household,26300,29100,28500,27200,25000,25100,23600,24600,24700,25000,22800,22200,20700,19400,19600
  Others,21700,20000,15600,20200,18100,18600,16400,16000,14500,12700,11900,9100,9600,7300,6400
70 - 74 Years,210000,192900,193000,190000,174700,154100,138200,123800,103300,105300,114600,108400,107000,107500,94400
  Living With Spouse & At Least One Child In Household,74400,67100,76400,62600,60500,47500,47200,41500,35600,38500,42800,41100,38600,40200,35500
"  Living With Spouse, No Children In Household",67000,62400,55000,64800,55600,55700,43900,38400,32400,27400,30800,27100,27300,27700,21900
  Living Alone In Household,25000,22400,23100,20800,18500,18900,14700,13500,9200,10100,11600,9700,9600,9400,8100
  Living With Children But Without Spouse In Household,26100,28400,27700,27100,27800,22300,22100,22300,20100,23100,22500,25200,25500,24900,23700
  Others,17600,12600,10800,14800,12300,9600,10300,8200,6000,6100,6900,5300,6000,5400,5200
75 - 79 Years,136600,117500,101500,86200,93600,101600,97400,99600,91100,84700,84000,71400,66300,66100,66000
  Living With Spouse & At Least One Child In Household,39000,32900,31100,22300,27800,26400,27100,27700,24700,25500,25300,22900,20800,18300,19500
"  Living With Spouse, No Children In Household",42700,35700,28500,27300,25900,30800,26500,29100,24500,19000,20100,17500,15200,14900,12200
  Living Alone In Household,17600,15000,13300,9600,10600,13300,11100,11500,10800,10300,8900,6600,6000,6100,6000
  Living With Children But Without Spouse In Household,25900,25200,22900,19900,23300,24600,26100,23900,25100,24700,25100,20700,20700,22800,24900
  Others,11400,8800,5600,7200,5900,6600,6600,7300,6100,5200,4400,3800,3600,4000,3400
80 - 84 Years,77700,72900,72900,69800,67800,65000,58500,58400,53800,49800,51300,49300,48200,43300,40300
  Living With Spouse & At Least One Child In Household,19700,16900,15400,15900,15900,12300,12400,12800,12200,12100,12100,10800,9600,10200,8800
