Number,Total,NoEmployedPerson,Below_1_000,1_000_1_999,2_000_2_999,3_000_3_999,4_000_4_999,5_000_5_999,6_000_6_999,7_000_7_999,8_000_8_999,9_000_9_999,10_000_10_999,11_000_11_999,12_000_12_999,13_000_13_999,14_000_14_999,15_000_17_499,17_500_19_999,20_000andOver
Total,1372559,182445,27007,70569,69341,74185,70712,73493,68660,66119,62812,59781,55120,49210,43943,41042,35595,76886,55127,190514
Ang Mo Kio,60220,11455,1563,4228,3572,4020,3381,3134,2943,2672,2210,2386,1947,1795,1363,1425,1156,2661,1841,6466
Bedok,97551,16818,2203,5278,5245,5521,4641,5102,3868,4229,3455,3641,3291,2685,2620,2564,1838,4080,3349,17125
Bishan,29445,4412,508,983,910,1252,996,1225,1307,1078,1060,1014,903,983,900,854,805,1801,1589,6864
Bukit Batok,54297,5983,847,3328,3031,3136,3200,3206,2713,2731,2813,2359,2003,2187,1504,1640,1475,2963,2037,7142
Bukit Merah,59700,12444,1899,4583,3478,3465,2339,2557,2173,2255,1826,1787,2012,1748,1536,1337,1360,3129,2025,7748
Bukit Panjang,43580,4389,665,1665,2411,2561,2495,2635,2552,2450,2544,2011,1746,1656,1710,1110,1146,2583,1891,5359
Bukit Timah,24612,3846,294,364,455,356,474,559,485,623,575,488,617,553,482,445,471,1249,1102,11174
Choa Chu Kang,58024,4463,904,2054,2776,2884,3058,3335,3337,3499,3311,3082,2833,2619,2115,2074,2167,4026,2924,6563
Clementi,33609,5990,804,1656,1508,1558,1410,1626,1556,1315,1231,1099,1199,993,906,941,702,1761,1341,6013
Downtown Core,1547,175,21,22,32,25,47,48,45,20,49,47,53,47,53,42,16,102,70,632
Geylang,42060,6991,1030,2826,2860,2661,2383,2385,2127,1635,1622,1654,1561,1397,1057,954,912,1755,1334,4917
Hougang,75109,8503,1475,4008,4473,4275,4054,4157,3956,3450,4098,3518,3067,2344,2534,2497,2119,3973,3048,9562
Jurong East,27213,4256,550,1642,1309,1761,1636,1718,1615,1422,1188,1109,997,922,818,706,559,1416,988,2602
Jurong West,83879,8069,1399,4460,4060,4636,5286,5308,5368,4806,4739,4441,4077,3456,3257,3037,2512,5049,3007,6910
Kallang,40832,8433,1355,3127,2379,2051,1925,1769,1554,1436,1325,1357,1394,1112,1205,917,768,1833,1452,5442
Marine Parade,17069,3552,339,683,652,736,595,510,500,460,573,449,468,426,366,304,253,773,661,4770
Novena,18281,2848,397,792,851,772,726,721,580,581,743,554,551,497,417,389,310,840,704,5010
Outram,8053,2194,393,813,504,392,283,336,201,245,210,213,205,146,218,145,150,326,211,868
Pasir Ris,44799,3702,587,1198,1408,1691,1768,2318,2078,2281,1994,2438,2230,2017,2104,1608,1643,3415,2434,7885
Punggol,56166,3531,877,2397,2418,3108,3060,2987,2975,3280,3317,3127,2952,2623,2474,2252,1764,4089,2858,6077
Queenstown,37053,7776,774,2408,1708,1924,1682,1515,1355,1304,1277,1264,1143,916,1174,933,787,2083,1571,5460
River Valley,3976,574,27,80,75,102,54,80,90,92,87,75,74,92,79,59,85,195,197,1860
Sembawang,33049,2716,586,1395,1695,2066,1979,2090,1931,1925,1882,1783,1645,1397,1237,1310,1190,1866,1511,2847
Sengkang,79376,5621,1276,3166,3556,4024,4310,4318,4693,4431,4164,4359,3915,3803,3016,3177,2811,6068,3905,8762
Serangoon,38086,5318,496,1444,1629,1464,1425,1786,1568,1803,1521,1470,1379,1255,1019,1052,1008,2038,1795,8616
Tampines,83681,9631,1389,4043,3892,4610,4472,4592,4362,4646,3802,4038,3947,3380,2975,2903,2311,5373,3672,9644
Tanglin,7938,1210,71,84,104,132,127,191,109,155,185,122,186,129,154,146,102,356,397,3977
Toa Payoh,46880,10015,1296,2987,2376,2603,2504,2089,2072,1791,2004,1413,1484,1400,1202,863,912,2236,1569,6064
Woodlands,78839,7133,1293,3913,4488,5132,5032,5584,5249,5025,4606,4596,3379,3239,2861,2903,2152,4524,2669,5064
Yishun,75403,8698,1551,4455,4912,4869,4935,5056,4736,4224,3894,3501,3458,3040,2324,2349,1883,3689,2429,5399
Others,12233,1698,139,489,576,398,436,555,563,256,510,385,405,352,267,106,230,635,543,3691
