Thousands,Total,NoReligion,Buddhism,Taoism1,Islam,Hinduism,Sikhism,Christianity_Catholic,Christianity_OtherChristians,OtherReligions
Total,3275.9,604.5,1087.3,326.4,459.8,162.5,11.5,220.9,395.2,7.9
Ang Mo Kio,157.2,26.9,56.2,22.6,13.9,6,0.2,11.7,19.3,0.3
Bedok,235.9,37.3,70.7,21.7,42.7,9.7,1.1,20,31.9,0.9
Bishan,76.3,16.9,21.2,7.8,2.8,4.3,0.1,9.5,13.6,0
Bukit Batok,120.1,20.7,40.6,12.3,15.2,6.7,0.2,7.8,16.2,0.3
Bukit Merah,132.5,26.3,50.5,13.2,11.3,5.1,0.9,8.3,16.3,0.5
Bukit Panjang,119.6,21,41.7,16,19.5,3.7,0.2,4.6,12.7,0.1
Bukit Timah,59.1,15,10.3,3.4,0.7,1.6,0,8.2,19.8,0.1
Choa Chu Kang,149.3,28.1,47.7,16.6,26.1,8.6,0,8.9,13.1,0.2
Clementi,72.7,16.3,23.5,5.3,8.2,2.1,0.1,4.1,12.9,0.2
Geylang,92.4,18.1,32.2,8.9,14.4,3.3,0.5,4,10.8,0.1
Hougang,184.6,35,71.5,19.8,16,6.9,0.1,16.7,18.5,0.1
Jurong East,70.6,13.2,17.5,11.5,13.8,4.7,0.5,3.8,5.7,0
Jurong West,235.1,40.4,87.8,26.2,40.8,15.3,0.7,7.4,15.9,0.5
Kallang,84.8,18,28.9,8.1,7.6,5.5,1.1,5.5,9.7,0.4
Marine Parade,35.9,9,8.3,1.7,3.2,1.7,0.5,4.7,6.5,0.2
Novena,37.2,8.8,11.5,2.4,2.6,1.3,0.2,3.7,6.7,0
Outram,17.4,4.1,5.9,1.7,1.9,0.6,0.2,0.8,2.1,0
Pasir Ris,119.4,21.6,32.9,7.3,25.9,4.8,0.3,8.7,17.7,0.3
Punggol,82.9,17.8,28.6,7.8,8.5,4.1,0.6,5.5,9.6,0.4
Queenstown,81.8,16.5,25.6,6.8,8.2,3.8,0.1,6.3,14.1,0.3
Sembawang,64.9,13,22.1,5.7,8.8,2.5,0.4,3.2,9.1,0.2
Sengkang,177.8,34.3,70.8,16.8,19.2,9.9,0.2,11.6,14.6,0.4
Serangoon,109.4,21.7,31.5,12.1,7.4,6,0.4,11.4,18.6,0.4
Tampines,231.7,37,71.1,19.7,54.5,8.6,1.3,13.6,25.7,0.3
Tanglin,14.4,3.2,2.8,0.5,0.3,1.5,0,2.3,3.7,0.1
Toa Payoh,107.9,21.7,37.2,10.5,8.2,5.4,0.1,9.9,14.7,0.2
Woodlands,201.9,28.8,68.6,19,46.1,12.8,0.7,7,18.5,0.3
Yishun,172.3,27,60.7,19.8,30.9,12.4,0.1,8.1,12.8,0.5
Others,31,7.1,9.5,1.4,0.8,3.3,0.6,3.6,4.3,0.4
