Number,Total,NoReligion,Buddhism,Taoism1,Islam,Hinduism,Sikhism,Christianity_Catholic,Christianity_OtherChristians,OtherReligions
Total,3459093,692528,1074159,303960,539251,172963,12051,242681,411674,9827
Ang Mo Kio,143616,30141,49544,17279,10952,6661,342,12143,16339,214
Bedok,238734,47193,69927,18890,40660,10321,1058,20874,29299,511
Bishan,76800,19247,21950,5304,3382,3217,146,8607,14759,189
Bukit Batok,139173,26343,41591,12344,23059,9228,377,8125,17726,380
Bukit Merah,128585,29934,42224,11813,12248,6308,656,8167,16675,560
Bukit Panjang,120112,22937,37693,13519,20325,5239,365,7077,12715,242
Bukit Timah,62963,17733,11103,3015,736,2063,227,7950,19824,312
Choa Chu Kang,167886,29826,51662,17284,34825,9963,319,8605,15082,320
Clementi,79300,18417,23091,6399,9033,3398,356,5608,12695,303
Downtown Core,2720,1011,615,109,93,77,-,347,464,4
Geylang,96750,20690,32411,9027,15328,2892,193,5033,10996,180
Hougang,195874,40403,66030,19523,20294,8710,967,17093,22185,670
Jurong East,69007,12575,21756,7343,12743,4832,183,2879,6552,145
Jurong West,225771,41074,78615,24184,46353,12143,666,7769,14345,620
Kallang,88333,18470,28286,8979,8591,7206,631,6105,9737,329
Marine Parade,38447,9103,8532,2087,3243,2718,209,4426,7791,338
Novena,40195,10338,10574,2328,2114,1822,205,4598,8072,142
Outram,15637,4139,5138,1633,1470,591,41,681,1881,63
Pasir Ris,130234,24187,33119,8777,30214,4566,491,9983,18383,515
Punggol,135347,28518,45742,10550,20960,4976,280,9104,14861,356
Queenstown,80302,18942,22997,5856,6785,3496,468,6802,14755,202
River Valley,8420,2565,1297,175,154,863,27,1057,2202,81
Sembawang,87951,17136,29545,7412,15532,4710,219,4815,8349,234
Sengkang,205998,43436,72229,17591,26557,10715,639,14123,20258,450
Serangoon,103278,22647,30157,9363,5316,6233,340,11557,17399,266
Tampines,226982,36837,64965,18089,59177,8351,703,13594,24778,488
Tanglin,16737,4654,2550,539,423,1102,92,2680,4567,131
Toa Payoh,104789,23483,34920,9271,8521,3807,245,9929,14250,364
Woodlands,214946,32251,66744,15988,60365,13535,683,9868,14900,612
Yishun,188451,32049,62216,17681,38022,11466,767,10364,15567,318
Others,25756,6249,6936,1610,1780,1751,156,2719,4266,290
