,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,
Subject: Geographic Distribution,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,
Table Title: Employed Residents Aged 15 Years and Over by Planning Area of Workplace and Usual Mode of Transport to Work (Census of Population 2020),,,,,,,,,,,,,
,,,,,,,,,,,,,
Data last updated: 18/06/2021,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,
,,,,,,,,,,,,Number,
Planning Area of Workplace,Total,Public Bus Only,MRT/LRT Only,MRT/LRT & Public Bus Only,Other combinations of MRT/LRT or Public Bus,Taxi/Private Hire Car Only,Car Only,Private Chartered Bus/Van Only,Lorry/Pickup Only,Motorcycle/Scooter Only,Others,No Transport Required,
Total,2177456,325779,287426,559336,84893,65118,459796,44883,28894,73487,34937,212907,
  Ang Mo Kio,47633,11221,3301,12011,969,1338,11997,666,670,1607,572,3281,
  Bedok,59224,14571,3791,12613,1346,1580,15084,1025,1148,2270,1657,4137,
  Bishan,28514,5684,2781,6904,868,717,7334,368,356,1117,365,2020,
  Boon Lay,19238,2736,891,4520,1624,264,5610,1495,398,1134,470,98,
  Bukit Batok,33475,6098,2028,7417,1088,783,10328,629,718,1047,535,2805,
  Bukit Merah,102606,13864,15208,32479,4110,2617,24769,957,716,3051,797,4038,
  Bukit Panjang,8881,2256,547,1567,455,233,1403,61,64,159,221,1917,
  Bukit Timah,20951,4655,1406,5704,794,652,5769,197,172,653,113,835,
  Changi,63053,18348,2881,11477,2046,6037,12570,2744,300,5756,719,174,
  Choa Chu Kang,12888,2426,1327,3075,430,313,1776,71,114,356,363,2637,
  Clementi,38244,7163,2310,10349,1220,887,10840,852,780,1744,504,1594,
  Downtown Core,280589,19667,91443,92442,11794,10410,46013,1147,289,3855,1279,2249,
  Geylang,115101,18838,14031,30641,3441,2948,31251,2149,1669,4542,1766,3823,
  Hougang,43240,10689,3483,8811,1276,1042,10078,911,1029,1402,928,3591,
  Jurong East,61478,9334,8488,17152,2960,1713,14186,1383,1138,2378,913,1832,
  Jurong West,44909,9705,2939,10352,1581,1214,10103,856,864,1536,1488,4272,
  Kallang,62510,8129,9953,19828,2338,1473,14173,578,695,1495,816,3032,
  Marine Parade,12621,4249,460,2903,318,438,2637,131,151,444,173,718,
  Museum,12329,1440,3163,4426,436,476,1946,33,13,243,25,128,
  Newton,13496,1562,2923,4600,468,433,2943,3,-,329,118,118,
  Novena,42172,4826,8618,14436,1252,1269,8916,144,258,1071,250,1133,
  Orchard,43874,6649,10346,14979,1616,1511,7235,80,95,777,125,460,
  Outram,37784,3878,10434,11916,1600,1336,6194,163,204,555,235,1270,
  Pasir Ris,23628,7491,766,3402,849,693,5238,1105,306,1331,883,1566,
  Paya Lebar,13212,3679,347,2755,514,371,3784,383,212,859,223,83,
  Pioneer,36579,2686,2651,9650,2212,769,10216,4644,965,2023,643,123,
  Punggol,9186,2026,847,1701,742,363,1091,141,46,149,430,1650,
  Queenstown,129905,14166,25614,40876,5662,4192,29776,1125,664,4353,1213,2263,
  Rochor,31152,4752,5836,9671,888,818,6856,222,209,609,288,1003,
  Seletar,5265,1453,86,1014,225,220,1375,162,42,610,80,-,
  Sembawang,39772,8851,1887,9374,977,589,9916,1257,1212,1739,1838,2134,
  Sengkang,17301,4508,1674,2690,953,405,2366,95,163,645,800,3003,
  Serangoon,38008,9822,2208,8658,1100,1010,9785,859,587,959,788,2232,
  Singapore River,17889,2110,3722,6523,829,743,3181,56,35,399,81,210,
  Southern Islands,7884,887,1555,2658,1175,146,827,69,14,390,125,37,
  Sungei Kadut,20577,2708,1185,5181,899,367,6600,732,1125,1202,377,199,
  Tampines,83159,20471,8543,17606,2777,2859,18292,2088,1000,2085,2301,5137,
  Tanglin,11517,2121,984,4406,373,348,2652,52,9,353,97,122,
  Toa Payoh,53392,8975,6795,14289,1804,1430,13866,678,757,1448,610,2741,
  Tuas,41999,2032,2448,8551,4827,804,11762,6763,1250,2791,621,150,
  Western Islands,13125,409,502,1610,2777,119,4067,1222,152,1407,848,12,
  Western Water Catchment,27900,4266,1950,9943,1096,906,6775,819,217,1294,264,370,
  Woodlands,43383,8126,2970,10150,1384,858,9830,876,1058,1817,1233,5080,
  Yishun,41337,9753,2493,8319,1234,1255,8647,746,489,1286,1765,5349,
  Other Planning Areas or Outside Singapore,22721,3068,1442,4461,3628,1644,5261,346,200,1243,1070,358,
  No Fixed Location for Work,174780,13434,8169,35249,3938,4524,24479,3796,6343,6972,3927,63950,
  Works from Home,68974,-,-,-,-,-,-,-,-,-,-,68974,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,
"Notes:
Planning areas refer to areas demarcated in the Urban Redevelopment Authority's Master Plan 2019.
Data refers to the usual workplace location and not the temporary arrangements due to COVID-19 measures.
Data exclude employed persons who were overseas for at least 6 months.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,
,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,
Date generated: 03/03/2025,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,
