,,,,,,,,,
Theme: Population,,,,,,,,,
Subject: Geographic Distribution,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,
Table Title: Resident Students Aged 5 Years and Over by Planning Area of Residence and Level of Education Attending (Census of Population 2020),,,,,,,,,
,,,,,,,,,
Data last updated: 18/06/2021,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,
,,,,,,,,Number,
Planning Area of Residence,Total,Pre-Primary,Primary,Secondary,Post-Secondary (Non-Tertiary),Polytechnic Diploma,Professional Qualification and Other Diploma,University,
Total,719839,55993,245931,174298,56663,72676,11593,102685,
  Ang Mo Kio,24714,1857,8066,5628,2131,2832,527,3674,
  Bedok,43976,3290,14572,10517,3309,3923,580,7785,
  Bishan,15580,840,5012,3676,1431,1344,223,3056,
  Bukit Batok,27407,2077,8485,6604,2592,2686,500,4464,
  Bukit Merah,22195,1857,8530,4992,1739,1892,427,2758,
  Bukit Panjang,27475,1989,8761,6588,2292,3192,546,4108,
  Bukit Timah,17021,1232,5916,4125,1582,617,151,3398,
  Choa Chu Kang,38707,2487,11760,9140,3094,4839,705,6683,
  Clementi,15910,1246,5873,3671,1364,1202,272,2282,
  Downtown Core,253,29,61,59,25,18,-,60,
  Geylang,16226,1430,5301,4054,1214,1620,230,2377,
  Hougang,36858,2349,11445,8843,3233,4216,714,6058,
  Jurong East,12449,747,3670,3144,1115,1474,279,2021,
  Jurong West,51760,3732,17935,13221,4281,5928,830,5833,
  Kallang,14208,1161,4700,3806,1054,1347,147,1993,
  Marine Parade,8283,625,3048,2087,652,458,101,1313,
  Novena,8562,711,3489,1995,627,538,93,1109,
  Outram,2284,219,944,492,173,117,52,286,
  Pasir Ris,29268,1661,8529,6784,2273,3618,566,5838,
  Punggol,37190,4921,16275,8685,1953,2699,356,2302,
  Queenstown,14353,1134,5364,3477,1095,1077,176,2030,
  River Valley,1987,193,767,468,168,62,12,317,
  Sembawang,21086,1726,7749,5455,1388,2388,273,2107,
  Sengkang,53588,4974,21822,12968,2996,4996,648,5185,
  Serangoon,19057,999,5535,4678,1516,1852,361,4117,
  Tampines,43271,3312,13812,10165,3658,4835,584,6906,
  Tanglin,4168,354,1713,1038,298,86,53,626,
  Toa Payoh,19054,1585,6337,4795,1476,1892,299,2669,
  Woodlands,49918,3201,15395,12621,4312,6934,1067,6388,
  Yishun,38377,3579,13373,9396,3328,3727,707,4268,
  Others,4653,477,1693,1125,295,270,116,677,
,,,,,,,,,
,,,,,,,,,
Footnotes:,,,,,,,,,
Note: Planning areas refer to areas demarcated in the Urban Redevelopment Authority’s Master Plan 2019.,,,,,,,,,
,,,,,,,,,
Notation:,,,,,,,,,
na   not available or not applicable,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,
Notes,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,
,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,
Date generated: 03/03/2025,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,
